OutcomeGroup,ICD9
no-ami-ihd,41000
no-ami-ihd,41002
no-ami-ihd,41010
no-ami-ihd,41012
no-ami-ihd,41020
no-ami-ihd,41022
no-ami-ihd,41030
no-ami-ihd,41032
no-ami-ihd,41040
no-ami-ihd,41042
no-ami-ihd,41050
no-ami-ihd,41052
no-ami-ihd,41060
no-ami-ihd,41062
no-ami-ihd,41070
no-ami-ihd,41072
no-ami-ihd,41080
no-ami-ihd,41082
no-ami-ihd,41090
no-ami-ihd,41092
no-ami-ihd,4110
no-ami-ihd,4111
no-ami-ihd,41181
no-ami-ihd,41189
no-ami-ihd,412
no-ami-ihd,4130
no-ami-ihd,4131
no-ami-ihd,4139
no-ami-ihd,41400
no-ami-ihd,41401
no-ami-ihd,41402
no-ami-ihd,41403
no-ami-ihd,41404
no-ami-ihd,41405
no-ami-ihd,41406
no-ami-ihd,41407
no-ami-ihd,41412
no-ami-ihd,4142
no-ami-ihd,4143
no-ami-ihd,4144
no-ami-ihd,4148
no-ami-ihd,4149
ami,41001
ami,41011
ami,41021
ami,41031
ami,41041
ami,41051
ami,41061
ami,41071
ami,41081
ami,41091
ihd,41000
ihd,41001
ihd,41002
ihd,41010
ihd,41011
ihd,41012
ihd,41020
ihd,41021
ihd,41022
ihd,41030
ihd,41031
ihd,41032
ihd,41040
ihd,41041
ihd,41042
ihd,41050
ihd,41051
ihd,41052
ihd,41060
ihd,41061
ihd,41062
ihd,41070
ihd,41071
ihd,41072
ihd,41080
ihd,41081
ihd,41082
ihd,41090
ihd,41091
ihd,41092
ihd,4110
ihd,4111
ihd,41181
ihd,41189
ihd,412
ihd,4130
ihd,4131
ihd,4139
ihd,41400
ihd,41401
ihd,41402
ihd,41403
ihd,41404
ihd,41405
ihd,41406
ihd,41407
ihd,41412
ihd,4142
ihd,4143
ihd,4144
ihd,4148
ihd,4149
heart-failure,39891
heart-failure,40201
heart-failure,40211
heart-failure,40291
heart-failure,40401
heart-failure,40403
heart-failure,40411
heart-failure,40413
heart-failure,40491
heart-failure,40493
heart-failure,4280
heart-failure,4281
heart-failure,42820
heart-failure,42821
heart-failure,42822
heart-failure,42823
heart-failure,42830
heart-failure,42831
heart-failure,42832
heart-failure,42833
heart-failure,42840
heart-failure,42841
heart-failure,42842
heart-failure,42843
heart-failure,4289
stroke,430
stroke,431
stroke,43301
stroke,43311
stroke,43321
stroke,43331
stroke,43381
stroke,43391
stroke,43400
stroke,43401
stroke,43410
stroke,43411
stroke,43490
stroke,43491
stroke,4350
stroke,4351
stroke,4353
stroke,4358
stroke,4359
stroke,436
stroke,99702
copd,490
copd,4910
copd,4911
copd,4918
copd,4919
copd,4920
copd,4928
copd,49120
copd,49121
copd,49122
copd,4940
copd,4941
copd,496
